IC_L_7: t= 8.80, L= 101.71, L_straight= 93.98, slack=  7.73, T_bat= 66.50, T_rov= 70.00, F_drag_cable=( 0.00, -9.87), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.90, L= 101.70, L_straight= 93.91, slack=  7.79, T_bat= 66.54, T_rov= 70.00, F_drag_cable=( 0.00, -9.87), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.00, L= 101.69, L_straight= 93.84, slack=  7.85, T_bat= 66.58, T_rov= 70.00, F_drag_cable=( 0.00, -9.87), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.10, L= 101.68, L_straight= 93.77, slack=  7.91, T_bat= 66.62, T_rov= 70.00, F_drag_cable=( 0.00, -9.87), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.20, L= 101.67, L_straight= 93.71, slack=  7.97, T_bat= 66.66, T_rov= 70.00, F_drag_cable=( 0.00, -9.87), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.30, L= 101.66, L_straight= 93.64, slack=  8.03, T_bat= 66.70, T_rov= 70.00, F_drag_cable=( 0.00, -9.87), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.40, L= 101.65, L_straight= 93.57, slack=  8.08, T_bat= 66.74, T_rov= 70.00, F_drag_cable=( 0.00, -9.87), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.50, L= 101.64, L_straight= 93.50, slack=  8.14, T_bat= 66.78, T_rov= 70.00, F_drag_cable=( 0.00, -9.87), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.60, L= 101.63, L_straight= 93.43, slack=  8.20, T_bat= 66.82, T_rov= 70.00, F_drag_cable=( 0.00, -9.87), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.70, L= 101.62, L_straight= 93.36, slack=  8.26, T_bat= 66.85, T_rov= 70.00, F_drag_cable=( 0.00, -9.87), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.80, L= 101.61, L_straight= 93.29, slack=  8.32, T_bat= 66.89, T_rov= 70.00, F_drag_cable=( 0.00, -9.87), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.90, L= 101.60, L_straight= 93.23, slack=  8.38, T_bat= 66.93, T_rov= 70.00, F_drag_cable=( 0.00, -9.86), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 10.00, L= 101.59, L_straight= 93.16, slack=  8.44, T_bat= 66.97, T_rov= 70.00, F_drag_cable=( 0.00, -9.86), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
