IC_L_7: t= 6.70, L= 403.61, L_straight= 402.71, slack=  0.90, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.06), Fy_cmd= -2.00, desired=  0.91, ret=  0.73, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.80, L= 403.68, L_straight= 402.74, slack=  0.94, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.06), Fy_cmd= -2.00, desired=  0.89, ret=  0.74, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.90, L= 403.76, L_straight= 402.77, slack=  0.99, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.07), Fy_cmd= -2.00, desired=  0.87, ret=  0.76, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.00, L= 403.83, L_straight= 402.80, slack=  1.03, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.07), Fy_cmd= -2.00, desired=  0.84, ret=  0.76, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.10, L= 403.91, L_straight= 402.83, slack=  1.08, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.08), Fy_cmd= -2.00, desired=  0.82, ret=  0.77, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.20, L= 403.99, L_straight= 402.86, slack=  1.13, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.08), Fy_cmd= -2.00, desired=  0.79, ret=  0.77, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.30, L= 404.06, L_straight= 402.88, slack=  1.18, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.08), Fy_cmd= -2.00, desired=  0.76, ret=  0.77, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.40, L= 404.14, L_straight= 402.91, slack=  1.23, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.08), Fy_cmd= -2.00, desired=  0.73, ret=  0.77, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.50, L= 404.22, L_straight= 402.94, slack=  1.28, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.71, ret=  0.76, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.60, L= 404.29, L_straight= 402.97, slack=  1.32, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.68, ret=  0.75, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.70, L= 404.37, L_straight= 403.00, slack=  1.37, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.65, ret=  0.74, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.80, L= 404.44, L_straight= 403.03, slack=  1.42, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.62, ret=  0.73, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.90, L= 404.52, L_straight= 403.06, slack=  1.46, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.59, ret=  0.72, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.00, L= 404.59, L_straight= 403.08, slack=  1.50, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.57, ret=  0.70, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.10, L= 404.66, L_straight= 403.11, slack=  1.55, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.54, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.20, L= 404.73, L_straight= 403.14, slack=  1.59, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.52, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.30, L= 404.79, L_straight= 403.17, slack=  1.62, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.49, ret=  0.65, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.40, L= 404.86, L_straight= 403.20, slack=  1.66, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.47, ret=  0.63, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.50, L= 404.92, L_straight= 403.23, slack=  1.70, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.44, ret=  0.61, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.60, L= 404.98, L_straight= 403.25, slack=  1.73, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.42, ret=  0.59, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.70, L= 405.04, L_straight= 403.28, slack=  1.76, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.40, ret=  0.57, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.80, L= 405.10, L_straight= 403.31, slack=  1.79, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.40, ret=  0.56, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.90, L= 405.16, L_straight= 403.34, slack=  1.82, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.40, ret=  0.54, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.00, L= 405.21, L_straight= 403.37, slack=  1.84, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.40, ret=  0.53, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.10, L= 405.26, L_straight= 403.40, slack=  1.87, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.40, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.20, L= 405.31, L_straight= 403.42, slack=  1.89, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.40, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
