IC_L_7: t= 13.50, L= 455.16, L_straight= 454.41, slack=  0.76, T_bat= 30.14, Fy= 0.30, desired=  1.00, ret=  0.96, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.60, L= 455.26, L_straight= 454.46, slack=  0.80, T_bat= 16.19, Fy= 0.00, desired=  1.00, ret=  0.96, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.70, L= 455.36, L_straight= 454.51, slack=  0.85, T_bat= 30.03, Fy= 0.26, desired=  1.00, ret=  0.97, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.80, L= 455.45, L_straight= 454.56, slack=  0.90, T_bat= 16.32, Fy= 0.00, desired=  1.00, ret=  0.97, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.90, L= 455.55, L_straight= 454.61, slack=  0.94, T_bat= 29.93, Fy= 0.24, desired=  1.00, ret=  0.97, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.00, L= 455.65, L_straight= 454.66, slack=  0.99, T_bat= 16.43, Fy= 0.00, desired=  1.00, ret=  0.98, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.10, L= 455.75, L_straight= 454.71, slack=  1.04, T_bat= 29.84, Fy= 0.21, desired=  1.00, ret=  0.98, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.20, L= 455.84, L_straight= 454.76, slack=  1.08, T_bat= 16.53, Fy= 0.00, desired=  1.00, ret=  0.98, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.30, L= 455.94, L_straight= 454.81, slack=  1.13, T_bat= 29.77, Fy= 0.19, desired=  1.00, ret=  0.98, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.40, L= 456.04, L_straight= 454.86, slack=  1.18, T_bat= 16.62, Fy= 0.00, desired=  1.00, ret=  0.98, exp=PILOT_DESC_ADD_SLACK_ACC
