[SCEN] t=0.00 scen=Fy crit=(:-10) T_bat=0.5 y=-500.00 x=0.00 L=10.00
IC_L_7: t= 8.70, L= 13.02, L_straight= 11.49, slack=  1.53, T_bat= 0.55, T_rov= 0.50, F_drag_cable=( 0.00,  0.41), Fy_cmd=-29.00, desired=  0.63, ret=  0.62, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.80, L= 13.08, L_straight= 11.53, slack=  1.55, T_bat= 0.55, T_rov= 0.50, F_drag_cable=( 0.00,  0.41), Fy_cmd=-29.00, desired=  0.63, ret=  0.62, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.90, L= 13.14, L_straight= 11.56, slack=  1.58, T_bat= 0.55, T_rov= 0.50, F_drag_cable=( 0.00,  0.41), Fy_cmd=-29.00, desired=  0.63, ret=  0.62, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 9.00, L= 13.20, L_straight= 11.60, slack=  1.60, T_bat= 0.54, T_rov= 0.50, F_drag_cable=( 0.00,  0.41), Fy_cmd=-29.00, desired=  0.63, ret=  0.62, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 9.10, L= 13.26, L_straight= 11.64, slack=  1.62, T_bat= 0.54, T_rov= 0.50, F_drag_cable=( 0.00,  0.41), Fy_cmd=-29.00, desired=  0.59, ret=  0.62, exp=PILOT_DESC_MINPAY_SLACK_CAP_ACC
IC_L_7: t= 9.20, L= 13.33, L_straight= 11.68, slack=  1.64, T_bat= 0.54, T_rov= 0.50, F_drag_cable=( 0.00,  0.42), Fy_cmd=-29.00, desired=  0.55, ret=  0.61, exp=PILOT_DESC_MINPAY_SLACK_CAP_ACC
IC_L_7: t= 9.30, L= 13.39, L_straight= 11.72, slack=  1.67, T_bat= 0.54, T_rov= 0.50, F_drag_cable=( 0.00,  0.42), Fy_cmd=-29.00, desired=  0.51, ret=  0.60, exp=PILOT_DESC_MINPAY_SLACK_CAP_ACC
IC_L_7: t= 9.40, L= 13.45, L_straight= 11.76, slack=  1.69, T_bat= 0.54, T_rov= 0.50, F_drag_cable=( 0.00,  0.42), Fy_cmd=-29.00, desired=  0.47, ret=  0.59, exp=PILOT_DESC_MINPAY_SLACK_CAP_ACC
IC_L_7: t= 9.50, L= 13.51, L_straight= 11.80, slack=  1.71, T_bat= 0.54, T_rov= 0.50, F_drag_cable=( 0.00,  0.42), Fy_cmd=-29.00, desired=  0.44, ret=  0.57, exp=PILOT_DESC_MINPAY_SLACK_CAP_ACC
IC_L_7: t= 9.60, L= 13.56, L_straight= 11.84, slack=  1.73, T_bat= 0.53, T_rov= 0.50, F_drag_cable=( 0.00,  0.42), Fy_cmd=-29.00, desired=  0.40, ret=  0.56, exp=PILOT_DESC_MINPAY_SLACK_CAP_ACC
