[SCEN] t=0.00 scen=Fx crit=(:-5) T_bat=0.5 y=-10.00 x=0.00 L=10.00
IC_L_7: t= 6.50, L= 8.89, L_straight=  8.55, slack=  0.34, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.22, ret= -0.22, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.60, L= 8.86, L_straight=  8.53, slack=  0.33, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.21, ret= -0.22, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.70, L= 8.84, L_straight=  8.51, slack=  0.33, T_bat= 0.43, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.20, ret= -0.22, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.80, L= 8.82, L_straight=  8.49, slack=  0.33, T_bat= 0.43, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.19, ret= -0.22, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.90, L= 8.80, L_straight=  8.47, slack=  0.33, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.18, ret= -0.22, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.00, L= 8.77, L_straight=  8.45, slack=  0.32, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.18, ret= -0.21, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.10, L= 8.75, L_straight=  8.43, slack=  0.32, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.17, ret= -0.21, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.20, L= 8.73, L_straight=  8.41, slack=  0.32, T_bat= 0.43, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.16, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.30, L= 8.71, L_straight=  8.40, slack=  0.32, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.16, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.40, L= 8.69, L_straight=  8.38, slack=  0.32, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.15, ret= -0.19, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.50, L= 8.67, L_straight=  8.36, slack=  0.31, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.15, ret= -0.19, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.60, L= 8.65, L_straight=  8.34, slack=  0.31, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.15, ret= -0.18, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.70, L= 8.64, L_straight=  8.32, slack=  0.31, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.14, ret= -0.18, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.80, L= 8.62, L_straight=  8.31, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.14, ret= -0.18, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 7.90, L= 8.60, L_straight=  8.29, slack=  0.31, T_bat= 0.46, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.14, ret= -0.17, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.00, L= 8.58, L_straight=  8.27, slack=  0.31, T_bat= 0.47, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.14, ret= -0.17, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.10, L= 8.57, L_straight=  8.25, slack=  0.31, T_bat= 0.46, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.14, ret= -0.17, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 8.20, L= 8.55, L_straight=  8.24, slack=  0.31, T_bat= 0.45, T_rov= 0.50, F_drag_cable=( 0.23, -0.12), Fy_cmd=  0.00, desired= -0.14, ret= -0.16, exp=PILOT_ASC_REMOVE_SLACK_ACC
