[SCEN] t=0.10 scen=Fx crit=(t>0:1) T_bat=0.403729584757652 p=-100.00 L=110.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.403729584757652 p=-100.00 L=110.00
IC_L_7: t= 13.20, L= 112.42, L_straight= 110.72, slack=  1.70, T_bat= 10.19, Fy= 0.02, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.30, L= 112.44, L_straight= 110.79, slack=  1.65, T_bat= 10.19, Fy= 0.02, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.40, L= 112.46, L_straight= 110.86, slack=  1.60, T_bat= 10.19, Fy= 0.03, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.50, L= 112.48, L_straight= 110.93, slack=  1.55, T_bat= 10.20, Fy= 0.03, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.60, L= 112.50, L_straight= 111.00, slack=  1.50, T_bat= 10.20, Fy= 0.03, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.70, L= 112.52, L_straight= 111.07, slack=  1.45, T_bat= 10.20, Fy= 0.03, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.80, L= 112.54, L_straight= 111.13, slack=  1.41, T_bat= 10.20, Fy= 0.03, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.90, L= 112.56, L_straight= 111.20, slack=  1.36, T_bat= 10.21, Fy= 0.03, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.00, L= 112.58, L_straight= 111.27, slack=  1.31, T_bat= 10.21, Fy= 0.03, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.10, L= 112.60, L_straight= 111.34, slack=  1.26, T_bat= 10.21, Fy= 0.04, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.20, L= 112.62, L_straight= 111.41, slack=  1.21, T_bat= 10.22, Fy= 0.04, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.30, L= 112.64, L_straight= 111.48, slack=  1.16, T_bat= 10.22, Fy= 0.04, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.40, L= 112.66, L_straight= 111.54, slack=  1.12, T_bat= 10.22, Fy= 0.04, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.50, L= 112.68, L_straight= 111.61, slack=  1.07, T_bat= 10.23, Fy= 0.04, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
